Table 8,,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by State by City, 2009 ",,,,,,,,,,,,
City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,
Riverside Township,"7,671",11,0,1,3,7,83,24,54,5,1,
Riverton,"2,613",3,0,2,1,0,69,15,53,1,0,
River Vale Township,"9,634",3,0,0,0,3,35,15,17,3,0,
Robbinsville Township,"12,314",7,0,3,1,3,102,16,85,1,0,
Rochelle Park Township,"6,144",1,0,0,0,1,72,17,52,3,1,
Rockaway,"6,241",3,0,0,1,2,65,13,50,2,0,
Rockaway Township,"25,828",19,0,2,4,13,447,43,398,6,1,
Rockleigh,388,0,0,0,0,0,2,0,2,0,0,
Roseland,"5,358",1,0,0,0,1,29,3,25,1,0,
Roselle,"20,523",83,1,2,48,32,451,113,256,82,2,
Roselle Park,"12,750",20,0,1,7,12,114,29,74,11,1,
Roxbury Township,"23,311",17,0,3,3,11,299,56,230,13,0,
